filename,x_from,y_from,width,height,sign_class,sign_id,sign_class_id,timestamp
autosave09_10_2012_08_30_12_1.jpg,709,348,17,17,1_27,1544,55,1349760612.0
autosave13_04_2013_12_41_16_1.jpg,1055,440,32,32,2_1,6553,1,1365846076.0
autosave24_10_2013_11_38_03_1.jpg,691,375,23,22,5_15_5,2269,26,1382603883.0
autosave24_10_2012_11_25_25_1.jpg,978,295,26,22,4_1_1,13151,24,1351067125.0
autosave10_10_2012_12_52_36_0.jpg,866,327,61,65,5_19_1,15003,8,1349862756.0
autosave23_10_2012_09_29_45_2.jpg,946,366,24,23,2_3_2,8972,56,1350973785.0
autosave23_10_2012_14_08_47_0.jpg,982,205,94,92,5_19_1,12357,8,1350990527.0
autosave16_10_2012_11_53_43_0.jpg,906,191,59,17,6_16,5332,11,1350377623.0
autosave24_10_2012_11_47_18_1.jpg,951,296,35,34,2_1,13286,1,1351068438.0
autosave24_10_2012_11_37_06_0.jpg,942,315,22,20,1_22,13212,54,1351067826.0
autosave09_10_2012_08_40_03_2.jpg,701,335,18,19,4_1_1,1626,24,1349761203.0
autosave09_11_2012_09_22_31_0.jpg,981,284,50,51,2_1,3183,1,1352445751.0
autosave10_10_2012_10_14_54_0.jpg,81,399,48,43,3_21,14457,116,1349853294.0
autosave24_10_2013_11_53_30_0.jpg,995,273,69,52,5_15_2_2,2421,57,1382604810.0
autosave01_02_2012_12_44_56.jpg,718,360,22,24,2_1,1007,1,1328093096.0
autosave16_10_2012_10_57_16_2.jpg,119,327,18,18,3_27,4810,27,1350374236.0
autosave16_10_2012_10_55_38_4.jpg,870,328,18,20,5_14,4802,133,1350374138.0
autosave01_02_2012_09_14_03.jpg,729,352,25,24,5_20,13,6,1328080443.0
autosave23_10_2012_15_15_25_1.jpg,808,327,19,18,1_14,12494,118,1350994525.0
autosave23_10_2012_09_13_43_0.jpg,1206,292,24,33,7_3,8896,34,1350972823.0
autosave10_10_2012_08_46_05_1.jpg,723,391,20,18,5_19_1,13858,8,1349847965.0
autosave24_10_2012_11_02_28_0.jpg,1199,156,32,44,5_16,12991,9,1351065748.0
autosave01_02_2012_12_47_57.jpg,651,345,26,24,1_2,1011,88,1328093277.0
autosave23_10_2012_09_57_50_0.jpg,844,329,28,28,4_1_1,9839,24,1350975470.0
autosave02_10_2012_12_11_55_1.jpg,955,200,39,38,4_1_1,5670,24,1349169115.0
autosave01_02_2012_11_41_38.jpg,882,175,80,75,5_19_1,758,8,1328089298.0
autosave21_01_2013_13_53_22_0.jpg,830,383,22,22,6_4,3740,36,1358769202.0
autosave09_10_2012_09_28_53_0.jpg,734,307,21,20,3_27,9243,27,1349764133.0
autosave23_10_2012_15_25_40_0.jpg,820,270,36,34,5_19_1,12525,8,1350995140.0
autosave10_10_2012_09_56_52_0.jpg,1090,374,75,41,5_15_1,14324,42,1349852212.0
autosave10_10_2012_13_04_12_0.jpg,933,171,150,83,5_15_1,15102,42,1349863452.0
autosave23_10_2012_14_25_07_1.jpg,858,332,30,23,2_4,12366,14,1350991507.0
autosave02_10_2012_12_09_01_1.jpg,767,248,22,21,5_15_3,5605,33,1349168941.0
autosave01_02_2012_11_30_13.jpg,846,308,33,35,3_24_n40,693,4,1328088613.0
autosave09_10_2012_14_14_39_0.jpg,153,301,22,29,5_16,11870,9,1349781279.0
autosave01_02_2012_11_55_02.jpg,934,278,37,39,3_24_n50,794,72,1328090102.0
autosave10_10_2012_07_43_18_2.jpg,679,360,25,24,5_19_1,13638,8,1349844198.0
autosave16_04_2013_11_43_04_2.jpg,1039,560,44,24,5_15_7,7597,132,1366101784.0
autosave09_10_2012_12_36_30_0.jpg,910,325,19,19,5_19_1,11222,8,1349775390.0
autosave16_10_2012_11_13_08_1.jpg,864,329,20,20,2_1,4893,1,1350375188.0
autosave09_10_2012_14_37_23_0.jpg,1137,226,54,76,7_11,12009,52,1349782643.0
autosave10_10_2012_12_56_38_0.jpg,1129,183,100,74,5_15_2_2,15025,57,1349862998.0
autosave01_02_2012_11_10_23.jpg,834,80,65,58,2_4,646,14,1328087423.0
autosave01_02_2012_13_51_12.jpg,688,341,36,37,2_1,1304,1,1328097072.0
autosave10_10_2012_08_30_35_0.jpg,1147,250,74,60,1_17,13806,3,1349847035.0
autosave09_10_2012_09_24_32_1.jpg,649,349,18,20,1_21,9216,115,1349763872.0
autosave23_10_2012_14_53_45_2.jpg,808,342,19,18,3_20,12428,77,1350993225.0
autosave09_11_2012_08_59_34_2.jpg,465,347,23,24,2_1,3057,1,1352444374.0
autosave09_10_2012_12_37_43_0.jpg,717,255,32,36,3_1,11247,75,1349775463.0
autosave16_04_2013_11_31_58_0.jpg,1472,371,93,86,5_19_1,7498,8,1366101118.0
autosave24_10_2013_13_17_36_0.jpg,783,351,30,44,7_3,2543,34,1382609856.0
autosave16_04_2013_13_36_57_1.jpg,1187,835,28,30,2_3_2,8118,56,1366108617.0
autosave23_10_2012_10_02_15_1.jpg,897,347,21,28,7_3,9887,34,1350975735.0
autosave09_10_2012_09_48_03_0.jpg,785,254,43,42,1_8,9405,58,1349765283.0
autosave09_10_2012_13_02_24_1.jpg,779,323,16,17,5_15_5,11439,26,1349776944.0
autosave09_10_2012_12_32_26_0.jpg,623,310,26,25,2_1,11181,1,1349775146.0
autosave09_10_2012_09_47_57_0.jpg,1227,266,50,55,3_24_n70,9403,71,1349765277.0
autosave09_11_2012_09_32_39_0.jpg,810,418,24,22,4_2_2,3254,101,1352446359.0
autosave16_10_2012_08_50_30_2.jpg,619,293,19,18,2_4,4518,14,1350366630.0
autosave16_10_2012_10_23_15_1.jpg,56,300,17,26,5_16,4752,9,1350372195.0
autosave10_10_2012_12_43_45_0.jpg,1022,299,37,52,5_16,14919,9,1349862225.0
autosave23_10_2012_09_53_12_0.jpg,1095,285,30,42,5_16,9154,9,1350975192.0
autosave16_10_2012_08_21_00_1.jpg,612,342,23,21,5_20,4357,6,1350364860.0
autosave24_10_2012_10_36_19_0.jpg,962,23,71,69,2_1,12830,1,1351064179.0
autosave09_10_2012_10_08_07_1.jpg,651,332,19,20,1_20_2,9544,89,1349766487.0
